id,screenName,tag,followerCount,lang,tweetID
1969527638,LlngoMakeEmCum_,#nationaldogday,319,en,769310701580083200
51878493,_notmichelle,#nationaldogday,275,en,769309490038439936
1393409100,jesseayye,#narcos,120,en,771622623583186944
232891415,MrBrianLloyd,#gloryoutnow,492,en,769308131696467969
710130422907207680,sarahdorat_16,#nationaldogday,128,en,769309769144283137
3649469655,wanderIustregui,#veranomtv2016,479,en,771340902308671488
99769502,andhesonit,felipe massa,1875,en,771321872936042496
413415713,Jas_Thxku,#narcos,582,en,771632931903197184
518053777,KLitzau,#nationaldogday,688,en,769306212894638080
3167964531,ThePettyHomo,#nationaldogday,204,en,769307613825798145
634516322,darkgreyxv,#getwellsoonjackson,859,en,771335763220848640
3157134163,michellemichmic,#justinssextapeleakedparty,138,en,769856892327776256
1852404296,FreeFX2,galaxy note 7,193,en,771636969935810561
320733081,RichLantos,#nationaldogday,243,en,769308844484882435
611525786,lonesomestereo,#backtohogwarts,384,en,771336794872745984
451819350,topnotchcvlt,#backtohogwarts,1046,en,771336450231111680
465857810,m_e_lees,#backtohogwarts,111,en,771336458342891521
1969604874,reml_conway,#backtohogwarts,228,en,771336465124986880
1238939516,HobiHobiHaz,#getwellsoonjackson,413,en,771336487254327296
177694573,BeyonceStanBish,britney,567,en,770277117254856705
4781323279,mrtzchris09,#narcos,142,en,771631069032386560
299828914,ramzax10,#backtohogwarts,105,en,771392211342782466
2728660403,a_sewart,#nationaldogday,129,en,769297114950144002
353480695,ambreezye,#prettylittleliars,178,en,771623591959855104
1687385503,trisetella,#nationaldogday,167,en,769297523597045762
2422549237,aguilarmigs,cape canaveral,258,en,771352107718877185
1282070173,e_loochie,#replacetøplyricswithharambe,414,en,769856323596918784
69611563,ViktorSeriogin,#narcos,276,en,771611105395216384
4890830966,oliviaaajames,#nationaldogday,140,en,769310189434482688
3336015731,ghoulslayers,#youtubeisoverparty,249,en,771385025245941760
3355871489,UrosRancic,#youtubeisoverparty,155,en,771385027821207552
1001608224,zunurain214,galaxy note 7,376,en,771635566047666176
2283712435,Meagan_Grieger,#backtohogwarts,111,en,771337198901858308
2163836409,tytheintern,naruto,184,en,771392183693811712
2966611953,WWMobileNews,galaxy note 7,143,en,771634633087651842
65282450,MCsnipes,#narcos,250,en,771611083740020736
708420695508783104,Naktadogg,#isac2016,301,en,770277653479849984
262750792,cooperjellybean,#nationaldogday,121,en,769299134821961728
4312278809,taeftjimin,#getwellsoonjackson,114,en,771321488221868032
736866783794221057,BIEBERnRIRI,#journalsstansparty,291,en,771610330703147008
4520523681,fiona_langdon,felipe massa,112,en,771320842525429760
1697751456,EmmanCabs,#backtohogwarts,115,en,771321489500942337
543355544,hannahturner19x,#youtubeisoverparty,205,en,771380732300320769
202889423,KARMAWOWZA,#backtohogwarts,175,en,771341229053337601
2949013004,lilacjaime,#respecttylerjoseph,464,en,769304516969766912
1970490685,V4apese,#italiangp,234,en,771627247744593920
277759851,ThePerfectPad57,#nationaldogday,483,en,769304032057909252
1210896074,KellerDwight,galaxy note 7,118,en,771633961965527040
26033888,emailthebert,verstappen,214,en,771633983167737857
409072888,eebeniro,galaxy note 7,499,en,771633983524249602
236494285,KiusRaie,#justinssextapeleakedparty,278,en,769854677659820032
738833141905903616,mjsty_,#larryisoverparty,131,en,771629009666908160
2964865655,Teri0328,#britneytoday,411,en,771335787455520769
859915406,princesssam93,#prettylittleliars,195,en,771335788260954112
2159892348,Holliewrightx,#1yearofjetblackheart,1223,en,769862661127364612
1061707502,emmkov,#respecttylerjoseph,166,en,769298667639570432
1012180309,celtic_stephen,#backtohogwarts,269,en,771336837893791744
1970021983,xJanosklansx_UK,#backtohogwarts,262,en,771336837931601920
623034920,iam_ybnl,cape canaveral,377,en,771347460279169027
716832511821615104,randomafstuff,#nationaldogday,117,en,769304452209651716
2582126342,be975n_,#getwellsoonjackson,374,en,771322884341903361
2629780522,mattate9,#nationaldogday,167,en,769298250314592258
